towMS,towSubMS,qErr,week,timeBase,utc,raim,qErrInvalid,TpNotLocked,timeRefGnss,utcStandard
91684000,0.0,0,2390,1,1,2,1,0,15,0
91685000,0.0,0,2390,1,1,2,1,0,15,0
91686000,0.0,0,2390,1,1,2,1,0,15,0
91687000,0.0,0,2390,1,1,2,1,0,15,0
91688000,0.0,0,2390,1,1,2,1,0,15,0
91689000,0.0,0,2390,1,1,2,1,0,15,0
91690000,0.0,0,2390,1,1,2,1,0,15,0
91691000,0.0,0,2390,1,1,2,1,0,15,0
91692000,0.0,0,2390,1,1,2,1,0,15,0
91693000,0.0,0,2390,1,1,2,1,0,15,0
91694000,0.0,0,2390,1,1,2,1,0,15,0
91695000,0.0,0,2390,1,1,2,1,0,15,0
91696000,0.0,0,2390,1,1,2,1,0,15,0
91697000,0.0,0,2390,1,1,2,1,0,15,0
91698000,0.0,0,2390,1,1,2,1,0,15,0
91699000,0.0,0,2390,1,1,2,1,0,15,0
91700000,0.0,0,2390,1,1,2,1,0,15,0
