version,reserved0,invalidLlh,iTOW,lon,lat,height,hMSL,hAcc,vAcc
0,0,0,91704000,114.180042944,22.305624753,26109.1,27722.3,1222.3,2856.3
0,0,0,91705000,114.180042908,22.305624796,26309.2,27922.4,1216.9,2847.5
0,0,0,91706000,114.180042581,22.305625,26385.0,27998.2,1207.0,2836.4
0,0,0,91707000,114.180042265,22.305625204,26538.9,28152.1,1195.2,2819.5
0,0,0,91708000,114.18004203,22.305625358,26712.5,28325.7,1184.1,2803.2
0,0,0,91709000,114.180041905,22.305625462,26909.3,28522.5,1174.5,2788.3
0,0,0,91710000,114.180041732,22.305625639,27059.5,28672.6,1165.0,2771.9
0,0,0,91711000,114.180041379,22.305625873,27124.7,28737.9,1156.8,2757.5
0,0,0,91712000,114.180041138,22.305626154,27214.3,28827.5,1149.1,2743.4
0,0,0,91713000,114.180040973,22.305626372,27307.7,28920.8,1141.8,2730.1
0,0,0,91714000,114.180040774,22.305626576,27345.5,28958.7,1134.8,2714.7
0,0,0,91715000,114.180040647,22.305626791,27434.7,29047.9,1127.8,2698.0
0,0,0,91716000,114.18004057,22.305626961,27538.4,29151.5,1120.6,2682.1
0,0,0,91717000,114.180040234,22.305627161,27565.9,29179.1,1113.8,2668.1
